GeneID,log2FC,pvalue,padj,significant,Symbol,Description,GeneType
8775,0.9508510850108269,1.657862562387694e-05,0.013235231139149204,True,NAPA,NSF attachment protein alpha,protein-coding
710,3.343186165907758,1.163503970907179e-05,0.013235231139149204,True,SERPING1,serpin family G member 1,protein-coding
9246,1.9165303348984164,8.422863350412542e-06,0.013235231139149204,True,UBE2L6,ubiquitin conjugating enzyme E2 L6,protein-coding
80832,2.054736437539834,6.522244385458778e-06,0.013235231139149204,True,APOL4,apolipoprotein L4,protein-coding
51513,3.2362325682408515,9.778150305636278e-06,0.013235231139149204,True,ETV7,ETS variant transcription factor 7,protein-coding
441168,2.566436162783127,1.516897013559766e-05,0.013235231139149204,True,CALHM6,calcium homeostasis modulator family member 6,protein-coding
3430,1.8394195607633295,1.3837951244636291e-05,0.013235231139149204,True,IFI35,interferon induced protein 35,protein-coding
51056,2.358009047558723,1.017091592490274e-06,0.013235231139149204,True,LAP3,leucine aminopeptidase 3,protein-coding
26270,1.7142187027495384,5.621604579354532e-06,0.013235231139149204,True,FBXO6,F-box protein 6,protein-coding
7453,2.4774392324187193,6.492435616830498e-06,0.013235231139149204,True,WARS1,tryptophanyl-tRNA synthetase 1,protein-coding
400759,2.8902322680823023,1.209007902678111e-05,0.013235231139149204,True,GBP1P1,guanylate binding protein 1 pseudogene 1,pseudo
112268296,1.6978405886755565,1.4483063782212003e-05,0.013235231139149204,True,LOC112268296,,
115361,2.5755221155210855,1.4792638387574215e-05,0.013235231139149204,True,GBP4,guanylate binding protein 4,protein-coding
100505681,0.8634690361890449,8.052090093809451e-06,0.013235231139149204,True,NAPA-AS1,NAPA antisense RNA 1,ncRNA
2633,2.9957432115175635,1.6729788784707895e-05,0.013235231139149204,True,GBP1,guanylate binding protein 1,protein-coding
54625,2.253350332514607,1.6170377403735612e-05,0.013235231139149204,True,PARP14,poly(ADP-ribose) polymerase family member 14,protein-coding
